lat,lng,trab,nao_trab,total,tipo,focal,peri,nebul,mecanico,alternativo,agente,ordem,casa,im_aegypti,im_albopictus
-23.72225,-46.55942,0,1,1.0,1,,,,,,,,,,
-23.72214,-46.55924,1,1,2.0,1,,,,,,,,,,
-23.72113,-46.56088,1,6,7.0,1,,,,,,,,,,
-23.7211,-46.56083,2,5,7.0,1,,,,,,,,,,
-23.72108,-46.56092,3,3,6.0,1,,,,,,,,,,
-23.72207,-46.5575,1,0,1.0,1,,,,,,,,,,
-23.72215,-46.55808,1,0,1.0,1,,,,,,,,,,
-23.72209,-46.55805,1,0,1.0,1,,,,,,,,,,
-23.72222,-46.55784,0,1,1.0,1,,,,,,,,,,
-23.72252,-46.55621,1,0,1.0,1,,,,,,,,,,
-23.72224,-46.55621,1,0,1.0,1,,,,,,,,,,
-23.72219,-46.55633,1,0,1.0,1,,,,,,,,,,
-23.72222,-46.55635,1,0,1.0,1,,,,,,,,,,
-23.72214,-46.5563,2,0,2.0,1,,,,,,,,,,
-23.72207,-46.55625,1,0,1.0,1,,,,,,,,,,
-23.72858,-46.53896,1,0,1.0,1,,,,,,,,,,
-23.72863,-46.53896,1,0,1.0,1,,,,,,,,,,
-23.72862,-46.53896,9,0,9.0,1,,,,,,,,,,
-23.72861,-46.53896,2,0,2.0,1,,,,,,,,,,
-23.72861,-46.53892,1,0,1.0,1,,,,,,,,,,
-23.72862,-46.53898,1,0,1.0,1,,,,,,,,,,
-23.72856,-46.539,1,0,1.0,1,,,,,,,,,,
-23.72855,-46.53901,1,0,1.0,1,,,,,,,,,,
-23.7285,-46.53906,1,0,1.0,1,,,,,,,,,,
-23.7285,-46.53907,2,0,2.0,1,,,,,,,,,,
-23.7285,-46.53908,1,0,1.0,1,,,,,,,,,,
-23.72851,-46.53909,1,0,1.0,1,,,,,,,,,,
-23.72852,-46.53909,1,0,1.0,1,,,,,,,,,,
-23.7285,-46.53909,1,0,1.0,1,,,,,,,,,,
-23.72848,-46.53904,1,0,1.0,1,,,,,,,,,,
-23.72851,-46.53902,1,0,1.0,1,,,,,,,,,,
-23.72852,-46.53897,2,0,2.0,1,,,,,,,,,,
-23.72845,-46.53906,1,0,1.0,1,,,,,,,,,,
-23.72781,-46.53866,1,0,1.0,1,,,,,,,,,,
-23.72764,-46.53868,1,0,1.0,1,,,,,,,,,,
-23.72766,-46.53866,1,0,1.0,1,,,,,,,,,,
-23.72768,-46.53863,1,0,1.0,1,,,,,,,,,,
-23.72777,-46.53863,1,0,1.0,1,,,,,,,,,,
-23.72778,-46.53866,1,0,1.0,1,,,,,,,,,,
-23.72779,-46.5386,1,0,1.0,1,,,,,,,,,,
-23.7278,-46.53859,1,0,1.0,1,,,,,,,,,,
-23.72793,-46.53953,1,0,1.0,1,,,,,,,,,,
-23.7283,-46.5392,3,0,3.0,1,,,,,,,,,,
-23.7283,-46.53916,5,0,5.0,1,,,,,,,,,,
-23.72842,-46.53913,2,0,2.0,1,,,,,,,,,,
-23.72842,-46.53919,1,0,1.0,1,,,,,,,,,,
-23.72845,-46.53918,1,0,1.0,1,,,,,,,,,,
-23.72846,-46.53911,1,0,1.0,1,,,,,,,,,,
-23.72844,-46.53914,1,0,1.0,1,,,,,,,,,,
-23.72847,-46.53914,1,0,1.0,1,,,,,,,,,,
-23.72848,-46.53911,1,0,1.0,1,,,,,,,,,,
-23.72851,-46.53911,1,0,1.0,1,,,,,,,,,,
-23.72852,-46.53912,1,0,1.0,1,,,,,,,,,,
-23.7285,-46.53913,1,0,1.0,1,,,,,,,,,,
-23.72848,-46.53923,1,0,1.0,1,,,,,,,,,,
-23.72851,-46.53927,1,0,1.0,1,,,,,,,,,,
-23.72851,-46.53924,1,0,1.0,1,,,,,,,,,,
-23.72845,-46.53923,1,0,1.0,1,,,,,,,,,,
-23.72842,-46.53922,1,0,1.0,1,,,,,,,,,,
-23.72843,-46.53923,2,0,2.0,1,,,,,,,,,,
-23.72853,-46.53942,1,0,1.0,1,,,,,,,,,,
